Job Title,Company Name,Location,Job Description
Principal Software Engineer,Coinbase,India (Remote),"About the job




Depending on your location, the General Data Protection Regulation (GDPR) and California Consumer Privacy Act (CCPA) may regulate the way we manage the data of job applicants. Our full notice outlining how data will be processed as part of the application procedure for applicable locations is available here. By submitting your application, you are agreeing to our use and processing of your data as required. For US applicants only, by submitting your application you are agreeing to arbitration of disputes as outlined here."
Full Stack Engineer,Coinbase,India (Remote),"About the job

We are looking for a skilled and passionate software engineer with strong TypeScript experience to join our team. In this role, you'll help us build and maintain high-quality, applications using the latest tools and technologies. As an integral member of our development team, you'll have the opportunity to collaborate with cross-functional teams and contribute to the growth and success of our company while learning a lot about web3 technologies.




Responsibilities

Design, build, and maintain scalable, high-performance applications using Typescript and other latest technologies and tools
Collaborate with product managers, designers, and other developers to define, design, and ship new features.
Write clean, maintainable, and testable code, following industry best practices and coding standards.
Optimize applications for maximum speed and scalability while ensuring their stability and security.
Integrate third-party libraries, APIs, and services as needed.
Debug and resolve technical issues and defects.
Participate in code reviews, providing and receiving constructive feedback to improve overall code quality.
Stay up-to-date with the latest trends and best practices in full stack development particularly in TypeScript ecosystems and web 3 environments.
Contribute to the continuous improvement of our development processes and tools.
Work balance: 80% coding, 15% designing, and 5% rituals and ceremonies.




Requirements

Proficiency in Typescript, node and serverless computing
Demonstrable experience building and shipping full stack solutions.
Experience with RESTful APIs, GraphQL, or other data integration methods.
Strong understanding database technologies.
Confident SQL (Postgres is preferable, but not necessary), must be able to explain joins and execution plan basics
Knowledge of no-SQL principles, must be able to explain pros and cons compared to SQL, when makes sense to use and why
Solid knowledge of code versioning tools, such as Git.
Excellent problem-solving, debugging, and troubleshooting skills.
Strong communication and teamwork skills, with the ability to work independently and collaboratively.
Good understanding of API architecture following best practices.
Proficiency with the creation of tests (unit tests, integration, etc).
Good knowledge of Linux.
English is mandatory.




Preferred Qualifications

6+ years of experience in full stack development, with a strong focus TypeScript and serverless computing
User-level experience with blockchain applications (e.g., wallets, dApps, staking, etc).
Understanding of blockchain fundamentals.
Understanding of eventual consistency principles
Experience with automated testing tools
Familiarity with CI/CD pipelines and tools, such as Jenkins or Git workflow."
Back End Developer,Coinbase,India (Remote),"About the job

Job Description




Job Title: Backend Developer (Node.js)

Location: Remote (If outside NCR)

Experience: 4-5+ years

Employment Type: Full Time

Job Description:

We are looking for a skilled Backend Developer with expertise in Node.js to join our team.

The ideal candidate will be responsible for designing developing and maintaining scalable

backend services and APIs.




Key Responsibilities:

Develop and maintain server-side logic using Node.js and related frameworks.
Design and implement RESTful APIs and microservices.
Work with databases like MongoDB PostgreSQL or MySQL.
Optimize applications for performance and scalability.
Collaborate with front-end developers and other team members.
Ensure security and data protection measures are in place.

Nodejs- CI/CD pipelines, Kafka, Devops




Education :-

Who passed out in 2019 or earlier (any ITdegree)

Experience

Competitive salary & performance incentives.

Flexible work environment.

Learning & development opportunities.

Flexible working hours

Paid Leaves

Occasional WFH"
Principal Software Engineer,Coinbase,India (Remote),"About the job

Ready to be pushed beyond what you think you’re capable of?

At Coinbase, our mission is to increase economic freedom in the world. It’s a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform — and with it, the future global financial system.




To achieve our mission, we’re seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the financial system. We want someone who is eager to leave their mark on the world, who relishes the pressure and privilege of working with high caliber colleagues, and who actively seeks feedback to keep leveling up. We want someone who will run towards, not away from, solving the company’s hardest problems.




Our work culture is intense and isn’t for everyone. But if you want to build the future alongside others who excel in their disciplines and expect the same from you, there’s no better place to be.

We are seeking a highly experienced and talented Principal Engineer to join our team. This individual will be one of the most senior individual contributors at Coinbase and will play a crucial role in influencing across multiple areas. This person will mentor other ICs to promote technical excellence and professional growth.







What you’ll be doing (ie. job duties):

Influence and oversee large engineering efforts across various domains such as identity, payments, ledgering, risk, and AI
Collaborate with other product leaders to establish and execute on vision & architecture strategies
Help drive the unified vision for product platform services and API surface
Lead the development and scaling of data stores and ledger systems within payment frameworks
Implement best practices for building and maintaining large-scale systems







What we look for in you (ie. job requirements):

Minimum of 15+ years of experience
Experience providing technical and strategic oversight for a high-performing global team of hundreds of engineers.
Desire and ability to inspire, influence and drive change at all levels, across multiple XFN teams, VPs and C-Suite. 
Demonstrated experience in working with large-scale systems and solving technical problems with over multi-year, multi-billion dollar, and multi-organization impact.
Excellent collaboration skills, with the ability to work effectively with cross-functional leaders and mentor other team members.
Experience in the fintech sector, with crypto experience being a plus




 

Commitment to Equal Opportunity




Coinbase is committed to diversity in its workforce and is proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, sex, gender expression or identity, sexual orientation or any other basis protected by applicable law. Coinbase will also consider for employment qualified applicants with criminal histories in a manner consistent with applicable federal, state and local law. 




Coinbase is also committed to providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please contact us at accommodations[at]coinbase.com to let us know the nature of your request and your contact information. For quick access to screen reading technology compatible with this site click here to download a free compatible screen reader (free step by step tutorial can be found here).







Global Data Privacy Notice for Job Candidates and Applicants




Depending on your location, the General Data Protection Regulation (GDPR) and California Consumer Privacy Act (CCPA) may regulate the way we manage the data of job applicants. Our full notice outlining how data will be processed as part of the application procedure for applicable locations is available here. By submitting your application, you are agreeing to our use and processing of your data as required. For US applicants only, by submitting your application you are agreeing to arbitration of disputes as outlined here.",
Principal Software Engineer,Coinbase,India (Remote),"About the job

Ready to be pushed beyond what you think you’re capable of?

At Coinbase, our mission is to increase economic freedom in the world. It’s a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform — and with it, the future global financial system.




To achieve our mission, we’re seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the financial system. We want someone who is eager to leave their mark on the world, who relishes the pressure and privilege of working with high caliber colleagues, and who actively seeks feedback to keep leveling up. We want someone who will run towards, not away from, solving the company’s hardest problems.




Our work culture is intense and isn’t for everyone. But if you want to build the future alongside others who excel in their disciplines and expect the same from you, there’s no better place to be.

We are seeking a highly experienced and talented Principal Engineer to join our team. This individual will be one of the most senior individual contributors at Coinbase and will play a crucial role in influencing across multiple areas. This person will mentor other ICs to promote technical excellence and professional growth.







What you’ll be doing (ie. job duties):

Influence and oversee large engineering efforts across various domains such as identity, payments, ledgering, risk, and AI
Collaborate with other product leaders to establish and execute on vision & architecture strategies
Help drive the unified vision for product platform services and API surface
Lead the development and scaling of data stores and ledger systems within payment frameworks
Implement best practices for building and maintaining large-scale systems







What we look for in you (ie. job requirements):

Minimum of 15+ years of experience
Experience providing technical and strategic oversight for a high-performing global team of hundreds of engineers.
Desire and ability to inspire, influence and drive change at all levels, across multiple XFN teams, VPs and C-Suite. 
Demonstrated experience in working with large-scale systems and solving technical problems with over multi-year, multi-billion dollar, and multi-organization impact.
Excellent collaboration skills, with the ability to work effectively with cross-functional leaders and mentor other team members.
Experience in the fintech sector, with crypto experience being a plus




 

Commitment to Equal Opportunity




Coinbase is committed to diversity in its workforce and is proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, sex, gender expression or identity, sexual orientation or any other basis protected by applicable law. Coinbase will also consider for employment qualified applicants with criminal histories in a manner consistent with applicable federal, state and local law. 




Coinbase is also committed to providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please contact us at accommodations[at]coinbase.com to let us know the nature of your request and your contact information. For quick access to screen reading technology compatible with this site click here to download a free compatible screen reader (free step by step tutorial can be found here).







Global Data Privacy Notice for Job Candidates and Applicants




Depending on your location, the General Data Protection Regulation (GDPR) and California Consumer Privacy Act (CCPA) may regulate the way we manage the data of job applicants. Our full notice outlining how data will be processed as part of the application procedure for applicable locations is available here. By submitting your application, you are agreeing to our use and processing of your data as required. For US applicants only, by submitting your application you are agreeing to arbitration of disputes as outlined here.",
Full Stack Engineer,Coinbase,India (Remote),"About the job

We are looking for a skilled and passionate software engineer with strong TypeScript experience to join our team. In this role, you'll help us build and maintain high-quality, applications using the latest tools and technologies. As an integral member of our development team, you'll have the opportunity to collaborate with cross-functional teams and contribute to the growth and success of our company while learning a lot about web3 technologies.




Responsibilities

Design, build, and maintain scalable, high-performance applications using Typescript and other latest technologies and tools
Collaborate with product managers, designers, and other developers to define, design, and ship new features.
Write clean, maintainable, and testable code, following industry best practices and coding standards.
Optimize applications for maximum speed and scalability while ensuring their stability and security.
Integrate third-party libraries, APIs, and services as needed.
Debug and resolve technical issues and defects.
Participate in code reviews, providing and receiving constructive feedback to improve overall code quality.
Stay up-to-date with the latest trends and best practices in full stack development particularly in TypeScript ecosystems and web 3 environments.
Contribute to the continuous improvement of our development processes and tools.
Work balance: 80% coding, 15% designing, and 5% rituals and ceremonies.




Requirements

Proficiency in Typescript, node and serverless computing
Demonstrable experience building and shipping full stack solutions.
Experience with RESTful APIs, GraphQL, or other data integration methods.
Strong understanding database technologies.
Confident SQL (Postgres is preferable, but not necessary), must be able to explain joins and execution plan basics
Knowledge of no-SQL principles, must be able to explain pros and cons compared to SQL, when makes sense to use and why
Solid knowledge of code versioning tools, such as Git.
Excellent problem-solving, debugging, and troubleshooting skills.
Strong communication and teamwork skills, with the ability to work independently and collaboratively.
Good understanding of API architecture following best practices.
Proficiency with the creation of tests (unit tests, integration, etc).
Good knowledge of Linux.
English is mandatory.




Preferred Qualifications

6+ years of experience in full stack development, with a strong focus TypeScript and serverless computing
User-level experience with blockchain applications (e.g., wallets, dApps, staking, etc).
Understanding of blockchain fundamentals.
Understanding of eventual consistency principles
Experience with automated testing tools
Familiarity with CI/CD pipelines and tools, such as Jenkins or Git workflow.",
Full Stack Engineer,Coinbase,India (Remote),"About the job

We are looking for a skilled and passionate software engineer with strong TypeScript experience to join our team. In this role, you'll help us build and maintain high-quality, applications using the latest tools and technologies. As an integral member of our development team, you'll have the opportunity to collaborate with cross-functional teams and contribute to the growth and success of our company while learning a lot about web3 technologies.




Responsibilities

Design, build, and maintain scalable, high-performance applications using Typescript and other latest technologies and tools
Collaborate with product managers, designers, and other developers to define, design, and ship new features.
Write clean, maintainable, and testable code, following industry best practices and coding standards.
Optimize applications for maximum speed and scalability while ensuring their stability and security.
Integrate third-party libraries, APIs, and services as needed.
Debug and resolve technical issues and defects.
Participate in code reviews, providing and receiving constructive feedback to improve overall code quality.
Stay up-to-date with the latest trends and best practices in full stack development particularly in TypeScript ecosystems and web 3 environments.
Contribute to the continuous improvement of our development processes and tools.
Work balance: 80% coding, 15% designing, and 5% rituals and ceremonies.




Requirements

Proficiency in Typescript, node and serverless computing
Demonstrable experience building and shipping full stack solutions.
Experience with RESTful APIs, GraphQL, or other data integration methods.
Strong understanding database technologies.
Confident SQL (Postgres is preferable, but not necessary), must be able to explain joins and execution plan basics
Knowledge of no-SQL principles, must be able to explain pros and cons compared to SQL, when makes sense to use and why
Solid knowledge of code versioning tools, such as Git.
Excellent problem-solving, debugging, and troubleshooting skills.
Strong communication and teamwork skills, with the ability to work independently and collaboratively.
Good understanding of API architecture following best practices.
Proficiency with the creation of tests (unit tests, integration, etc).
Good knowledge of Linux.
English is mandatory.




Preferred Qualifications

6+ years of experience in full stack development, with a strong focus TypeScript and serverless computing
User-level experience with blockchain applications (e.g., wallets, dApps, staking, etc).
Understanding of blockchain fundamentals.
Understanding of eventual consistency principles
Experience with automated testing tools
Familiarity with CI/CD pipelines and tools, such as Jenkins or Git workflow.",
Back End Developer,Coinbase,India (Remote),"About the job

Job Description




Job Title: Backend Developer (Node.js)

Location: Remote (If outside NCR)

Experience: 4-5+ years

Employment Type: Full Time

Job Description:

We are looking for a skilled Backend Developer with expertise in Node.js to join our team.

The ideal candidate will be responsible for designing developing and maintaining scalable

backend services and APIs.




Key Responsibilities:

Develop and maintain server-side logic using Node.js and related frameworks.
Design and implement RESTful APIs and microservices.
Work with databases like MongoDB PostgreSQL or MySQL.
Optimize applications for performance and scalability.
Collaborate with front-end developers and other team members.
Ensure security and data protection measures are in place.

Nodejs- CI/CD pipelines, Kafka, Devops




Education :-

Who passed out in 2019 or earlier (any ITdegree)

Experience

Competitive salary & performance incentives.

Flexible work environment.

Learning & development opportunities.

Flexible working hours

Paid Leaves

Occasional WFH",
Back End Developer,Coinbase,India (Remote),"About the job

Job Description




Job Title: Backend Developer (Node.js)

Location: Remote (If outside NCR)

Experience: 4-5+ years

Employment Type: Full Time

Job Description:

We are looking for a skilled Backend Developer with expertise in Node.js to join our team.

The ideal candidate will be responsible for designing developing and maintaining scalable

backend services and APIs.




Key Responsibilities:

Develop and maintain server-side logic using Node.js and related frameworks.
Design and implement RESTful APIs and microservices.
Work with databases like MongoDB PostgreSQL or MySQL.
Optimize applications for performance and scalability.
Collaborate with front-end developers and other team members.
Ensure security and data protection measures are in place.

Nodejs- CI/CD pipelines, Kafka, Devops




Education :-

Who passed out in 2019 or earlier (any ITdegree)

Experience

Competitive salary & performance incentives.

Flexible work environment.

Learning & development opportunities.

Flexible working hours

Paid Leaves

Occasional WFH",
Lead Java Fullstack Developer (Banking),EkamApps,India (Remote),"About the job

Job Position : Lead Java Fullstack Developer (Banking)

Experience : 6 + Years

Location : Remote /Kochi/Chennai/Pune

Notice Period : Immediate Joiner







We are looking for a highly skilled and proactive Full Stack Developer (FSE) with expertise in Java and Spring Boot to join our innovative and collaborative team. You will play a key role in the development of critical banking applications across various business domains. The ideal candidate will be self-driven, analytically strong, and thrive in a fast-paced environment.

Key Responsibilities

Design, develop, and maintain business-critical banking applications.
Implement new features using full-stack technologies, focusing on Java, Spring Boot, and REST APIs.
Ensure high code quality through thorough unit testing, peer reviews, and adherence to coding best practices.
Work closely with UI/UX designers, backend developers, and other stakeholders to deliver seamless and performant applications.
Identify and resolve performance bottlenecks, bugs, and technical issues.
Participate actively in Agile/Scrum development cycles and contribute to continuous improvement processes.

Required Qualifications

Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a related field.
4–6 years of hands-on experience in application development.

Technical Skills

Strong proficiency in Java and Spring Boot.
Experience with RESTful API development.
Proficiency in Kubernetes / OpenShift.
Familiarity with Azure DevOps for CI/CD pipeline management.
Experience with JMS and Message Queues.

Nice to Have

Knowledge of Quarkus and Apache Camel.
Understanding of Core Banking Systems.
Prior experience in the banking domain.
Experience in customer-facing roles."
Senior Staff Software Engineer - Platform,EkamApps,India (Remote),"About the job

Ready to be pushed beyond what you think you’re capable of?




At Coinbase, our mission is to increase economic freedom in the world. It’s a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform — and with it, the future global financial system.




To achieve our mission, we’re seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the financial system. We want someone who is eager to leave their mark on the world, who relishes the pressure and privilege of working with high caliber colleagues, and who actively seeks feedback to keep leveling up. We want someone who will run towards, not away from, solving the company’s hardest problems.




Our work culture is intense and isn’t for everyone. But if you want to build the future alongside others who excel in their disciplines and expect the same from you, there’s no better place to be.




The mission of the Platform Product Group engineers is to build a trusted, scalable and compliant platform to operate with speed, efficiency and quality. Our teams build and maintain the platforms critical to the existence of Coinbase. There are many teams that make up this group which include Product Foundations (i.e. Identity, Payment, Risk, Proofing & Regulatory, Finhub), Machine Learning, Customer Experience, and Infrastructure.




Payments platform team is diligently crafting innovative payment solutions aimed at empowering both individual consumers and large-scale institutions within the cryptocurrency ecosystem. We are developing state-of-the-art payment infrastructures and experiences to facilitate the seamless transition of traditional currency into the crypto landscape, thereby enhancing financial access. Our payment solutions are designed with a focus on simplicity and scalability, aiming to drive widespread adoption of crypto-centric products such as Decentralized Finance (DeFi), Decentralized Applications (DApps), and cryptocurrency exchanges.




Team is building solutions and services that facilitate the processing of hundreds of billions in payments across 100s of countries worldwide. The movement of funds stands as the central pillar of our operations, encompassing transactions like purchases, sales, deposits, withdrawals, and trades for both retail and institutional clients. Our extensive reach across multiple countries is made possible through our deep integrations with banking systems, credit cards, and digital wallets.




As a platform team, we cater not only to our external clientele but also serve our internal customers with equal dedication. In our line of work, each fund transfer is of paramount importance, necessitating consistency and timely execution every single time without fail.







What you’ll be doing (ie. job duties):

Architect and develop platform for the payments org
Provide technical structure to teams and work closely with management and stakeholders to define strategic roadmaps
Build new services to meet critical product and business needs using Golang / Java
Design scalable systems to solve novel problems with modern cloud technology and industry best practices.
Articulate a long term vision for maintaining and scaling our backend systems and the teams running them.
Work with engineers, designers, product managers and senior leadership to turn our product and technical vision into a tangible roadmap every quarter.
Write high quality, well tested code to meet the needs of your customers. Debugging extremely difficult technical problems, and making systems and products both work better and are easier to deploy, own, operate and diagnose.
Review all feature designs within your product area and across the company for cross-cutting projects. Be an owner of the security, safety, scale, operational integrity, and architectural clarity of these designs.










What we look for in you (ie. job requirements):

10+ years of experience in software engineering
You’ve 4+ years of experience in architecting large scale distributed systems
You’ve designed, built, scaled and maintained production services, and know how to compose a service oriented architecture.
You write high quality, well tested code to meet the needs of your customers.
You’re passionate about building an open financial system that brings the world together.
You possess strong technical skills for system design and coding
Excellent written and verbal communication skills, and a bias toward open, transparent cultural practices.







Nice to haves:

You have gone through a rapid growth in your company (from startup to mid-size).
Experience with growth experiments or A/B testing frameworks.
You have experience with Blockchain technology (such as Bitcoin, Ethereum etc..)
You’ve worked with Golang, Docker, Rails, Postgres, MongoDB or DynamoDB.










Commitment to Equal Opportunity

Coinbase is committed to diversity in its workforce and is proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, sex, gender expression or identity, sexual orientation or any other basis protected by applicable law. Coinbase will also consider for employment qualified applicants with criminal histories in a manner consistent with applicable federal, state and local law. For US applicants, you may view Pay Transparency, Employee Rights and Know Your Rights notices by clicking on their corresponding links. Additionally, Coinbase participates in the E-Verify program in certain locations, as required by law.




Coinbase is also committed to providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please send an e-mail to accommodations[at]coinbase.com and let us know the nature of your request and your contact information. For quick access to screen reading technology compatible with this site click here to download a free compatible screen reader (free step by step tutorial can be found here).







Global Data Privacy Notice for Job Candidates and Applicants

Depending on your location, the General Data Protection Regulation (GDPR) and California Consumer Privacy Act (CCPA) may regulate the way we manage the data of job applicants. Our full notice outlining how data will be processed as part of the application procedure for applicable locations is available here. By submitting your application, you are agreeing to our use and processing of your data as required. For US applicants only, by submitting your application you are agreeing to arbitration of disputes as outlined here."
Lead Java Fullstack Developer (Banking),EkamApps,India (Remote),"About the job

Job Position : Lead Java Fullstack Developer (Banking)

Experience : 6 + Years

Location : Remote /Kochi/Chennai/Pune

Notice Period : Immediate Joiner







We are looking for a highly skilled and proactive Full Stack Developer (FSE) with expertise in Java and Spring Boot to join our innovative and collaborative team. You will play a key role in the development of critical banking applications across various business domains. The ideal candidate will be self-driven, analytically strong, and thrive in a fast-paced environment.

Key Responsibilities

Design, develop, and maintain business-critical banking applications.
Implement new features using full-stack technologies, focusing on Java, Spring Boot, and REST APIs.
Ensure high code quality through thorough unit testing, peer reviews, and adherence to coding best practices.
Work closely with UI/UX designers, backend developers, and other stakeholders to deliver seamless and performant applications.
Identify and resolve performance bottlenecks, bugs, and technical issues.
Participate actively in Agile/Scrum development cycles and contribute to continuous improvement processes.

Required Qualifications

Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a related field.
4–6 years of hands-on experience in application development.

Technical Skills

Strong proficiency in Java and Spring Boot.
Experience with RESTful API development.
Proficiency in Kubernetes / OpenShift.
Familiarity with Azure DevOps for CI/CD pipeline management.
Experience with JMS and Message Queues.

Nice to Have

Knowledge of Quarkus and Apache Camel.
Understanding of Core Banking Systems.
Prior experience in the banking domain.
Experience in customer-facing roles.",
Lead Java Fullstack Developer (Banking),EkamApps,India (Remote),"About the job

Job Position : Lead Java Fullstack Developer (Banking)

Experience : 6 + Years

Location : Remote /Kochi/Chennai/Pune

Notice Period : Immediate Joiner







We are looking for a highly skilled and proactive Full Stack Developer (FSE) with expertise in Java and Spring Boot to join our innovative and collaborative team. You will play a key role in the development of critical banking applications across various business domains. The ideal candidate will be self-driven, analytically strong, and thrive in a fast-paced environment.

Key Responsibilities

Design, develop, and maintain business-critical banking applications.
Implement new features using full-stack technologies, focusing on Java, Spring Boot, and REST APIs.
Ensure high code quality through thorough unit testing, peer reviews, and adherence to coding best practices.
Work closely with UI/UX designers, backend developers, and other stakeholders to deliver seamless and performant applications.
Identify and resolve performance bottlenecks, bugs, and technical issues.
Participate actively in Agile/Scrum development cycles and contribute to continuous improvement processes.

Required Qualifications

Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a related field.
4–6 years of hands-on experience in application development.

Technical Skills

Strong proficiency in Java and Spring Boot.
Experience with RESTful API development.
Proficiency in Kubernetes / OpenShift.
Familiarity with Azure DevOps for CI/CD pipeline management.
Experience with JMS and Message Queues.

Nice to Have

Knowledge of Quarkus and Apache Camel.
Understanding of Core Banking Systems.
Prior experience in the banking domain.
Experience in customer-facing roles.",
Senior Staff Software Engineer - Platform,EkamApps,India (Remote),"About the job

Ready to be pushed beyond what you think you’re capable of?




At Coinbase, our mission is to increase economic freedom in the world. It’s a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform — and with it, the future global financial system.




To achieve our mission, we’re seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the financial system. We want someone who is eager to leave their mark on the world, who relishes the pressure and privilege of working with high caliber colleagues, and who actively seeks feedback to keep leveling up. We want someone who will run towards, not away from, solving the company’s hardest problems.




Our work culture is intense and isn’t for everyone. But if you want to build the future alongside others who excel in their disciplines and expect the same from you, there’s no better place to be.




The mission of the Platform Product Group engineers is to build a trusted, scalable and compliant platform to operate with speed, efficiency and quality. Our teams build and maintain the platforms critical to the existence of Coinbase. There are many teams that make up this group which include Product Foundations (i.e. Identity, Payment, Risk, Proofing & Regulatory, Finhub), Machine Learning, Customer Experience, and Infrastructure.




Payments platform team is diligently crafting innovative payment solutions aimed at empowering both individual consumers and large-scale institutions within the cryptocurrency ecosystem. We are developing state-of-the-art payment infrastructures and experiences to facilitate the seamless transition of traditional currency into the crypto landscape, thereby enhancing financial access. Our payment solutions are designed with a focus on simplicity and scalability, aiming to drive widespread adoption of crypto-centric products such as Decentralized Finance (DeFi), Decentralized Applications (DApps), and cryptocurrency exchanges.




Team is building solutions and services that facilitate the processing of hundreds of billions in payments across 100s of countries worldwide. The movement of funds stands as the central pillar of our operations, encompassing transactions like purchases, sales, deposits, withdrawals, and trades for both retail and institutional clients. Our extensive reach across multiple countries is made possible through our deep integrations with banking systems, credit cards, and digital wallets.




As a platform team, we cater not only to our external clientele but also serve our internal customers with equal dedication. In our line of work, each fund transfer is of paramount importance, necessitating consistency and timely execution every single time without fail.







What you’ll be doing (ie. job duties):

Architect and develop platform for the payments org
Provide technical structure to teams and work closely with management and stakeholders to define strategic roadmaps
Build new services to meet critical product and business needs using Golang / Java
Design scalable systems to solve novel problems with modern cloud technology and industry best practices.
Articulate a long term vision for maintaining and scaling our backend systems and the teams running them.
Work with engineers, designers, product managers and senior leadership to turn our product and technical vision into a tangible roadmap every quarter.
Write high quality, well tested code to meet the needs of your customers. Debugging extremely difficult technical problems, and making systems and products both work better and are easier to deploy, own, operate and diagnose.
Review all feature designs within your product area and across the company for cross-cutting projects. Be an owner of the security, safety, scale, operational integrity, and architectural clarity of these designs.










What we look for in you (ie. job requirements):

10+ years of experience in software engineering
You’ve 4+ years of experience in architecting large scale distributed systems
You’ve designed, built, scaled and maintained production services, and know how to compose a service oriented architecture.
You write high quality, well tested code to meet the needs of your customers.
You’re passionate about building an open financial system that brings the world together.
You possess strong technical skills for system design and coding
Excellent written and verbal communication skills, and a bias toward open, transparent cultural practices.







Nice to haves:

You have gone through a rapid growth in your company (from startup to mid-size).
Experience with growth experiments or A/B testing frameworks.
You have experience with Blockchain technology (such as Bitcoin, Ethereum etc..)
You’ve worked with Golang, Docker, Rails, Postgres, MongoDB or DynamoDB.










Commitment to Equal Opportunity

